title|publisher|eissn|pissn|doajid|categories|language
Geochemical Perspectives Letters|European Association of Geochemistry|2410-3403|2410-339X|9a9a751c2a5c44f9a4c35fa6ab0ab376|Geology#Chemistry|EN
Geochemical Transactions|BMC|1467-4866||b37eb0f92d4f4499a70ba20bb79b0068|Environmental sciences#Chemistry|EN
Geodesy and Geodynamics|KeAi||1674-9847|832cc7c2d4c34d5eb6b77acd7f24e6db|Geodesy#Geophysics. Cosmic physics|EN
Geodinamika i Tektonofizika|Institute of the Earth's crust, Siberian Branch of RAS|2078-502X||08eb6ad3feb945b489bea68eac361e4d|Science|EN#RU
Geofizika|University of Zagreb, Faculty of Science, Department of Geophysics, Andrija Mohorovičić Geophysical Institute |1846-6346|0352-3659|c7bedf3aaee24fa393ab36d0e3fa27c9|Geophysics. Cosmic physics|EN
Geofluids|Hindawi-Wiley|1468-8123|1468-8115|c54a8e0be50e4a29bca78d223679b398|Geology|EN
Green Energy & Environment|KeAi|2468-0257||e9f85340ac9b4320b039abd90216990e|Renewable energy sources#Ecology|EN
High Power Laser Science and Engineering|Cambridge University Press|2052-3289|2095-4719|972d0c18e9f5498599597017abd06ab3|Applied optics. Photonics|EN
IEEE Photonics Journal|IEEE|1943-0655||423d7acb4c494bfdae20e388a0aef441|Applied optics. Photonics#Optics. Light|EN
Indian Journal of Biochemistry and Biophysics|NISCAIR|0975-0959|0301-1208|7471c63ac7af46b09543db141359e598|Biochemistry|EN
InfoMat|Wiley|2567-3165||fa655c9bd2c6404c8fc5a3e46a6c45cb|Materials of engineering and construction. Mechanics of materials#Information technology|EN
International Journal of Biological Sciences|Ivyspring International Publisher|1449-2288||47927ce576914174acd6a4ff1366a9c5|Biology (General)|EN
International Journal of Geophysics|Hindawi Limited|1687-8868|1687-885X|f37335989e5b4565abda8d5b5e799a13|Geophysics. Cosmic physics|EN
International Journal of Optics|Hindawi Limited|1687-9392|1687-9384|79bec13206be4309aae4a540f81ddf4a|Optics. Light|EN
International Journal of Photoenergy|Hindawi Limited|1687-529X|1110-662X|a35299157369429cacbdfc224eaf744d|Renewable energy sources|EN
International Journal of Smart and Nano Materials|Taylor & Francis Group|1947-542X|1947-5411|e0729e9169b9492a980a41b5ae742a70|Materials of engineering and construction. Mechanics of materials|EN
Iranian Journal of Catalysis|Islamic Azad University||2252-0236|0a8ed9c321c743eab2710e4d2bbc7359|Chemistry|EN
Известия высших учебных заведений: Прикладная нелинейная динамика|Saratov State University|2542-1905|0869-6632|2886caae585e4d0ea96624391746b59a|Physics|EN#RU
Johnson Matthey Technology Review |Johnson Matthey Plc|2056-5135||cc745d6a587347998c8e5543f446dd42|Chemical technology|EN
Journal of Advanced Ceramics|SpringerOpen|2227-8508|2226-4108|b0754c4afb2c4c03906917b7b136ba52|Clay industries. Ceramics. Glass|EN
Journal of Advanced Dielectrics|World Scientific Publishing|2010-1368|2010-135X|0470e9eaa07640fd92a698010edf9573|Electricity|EN
Journal of Applied Biomaterials & Functional Materials|SAGE Publishing|2280-8000||0f87cc4c965d4ff5929f468edac14d8a|Biotechnology|EN
Journal of Asian Ceramic Societies|Taylor & Francis Group|2187-0764||f5ca2205412a4dd196c0d83555a81e4c|Clay industries. Ceramics. Glass|EN
Journal of Astronomy and Space Sciences|Korean Space Science Society (KSSS)|2093-1409|2093-5587|52b2088a93c84777850286b80186ba9c|Astronomy|EN
Journal of Cellular and Molecular Medicine |Wiley|1582-4934|1582-1838|bcb180e8b8324d5bb370f924390fef55|Medicine#Medicine (General)|EN
Journal of Enzyme Inhibition and Medicinal Chemistry|Taylor & Francis Group|1475-6374|1475-6366|6f6273990428406eb32194f8b16c384c|Therapeutics. Pharmacology|EN
Journal of Experimental Nanoscience|Taylor & Francis Group|1745-8099|1745-8080|9e8af68c997a488eb5efce06e32ffd18|Materials of engineering and construction. Mechanics of materials#Chemical technology|EN
Journal of High Energy Physics|SpringerOpen|1029-8479||398769d288e14bf5866ae5e9c0ad53b2|Nuclear and particle physics. Atomic energy. Radioactivity|EN
Journal of Materials Research and Technology|Elsevier|2214-0697|2238-7854|a8a3f8f62b4f4d4691e32a71bcbd3286|Mining engineering. Metallurgy|EN
Journal of Materiomics|Elsevier||2352-8478|e7cf08dc3ed141c6a6d68d94506e6a57|Materials of engineering and construction. Mechanics of materials|EN
Journal of Nanomaterials|Hindawi Limited|1687-4129|1687-4110|9cd6264016cf468e936fdb90728de490|Technology (General)|EN
Journal of Physics Communications|IOP Publishing|2399-6528||f2936121500f4a849f49571f17312206|Science#Physics|EN
JOURNAL OF PHYSICS-PHOTONICS ||||||
Journal of Research of the National Institute of Standards and Technology|The National Institute of Standards and Technology|2165-7254|1044-677X|d468570af46642e0acf585c5c4c74fc3|Physics|EN
